1:1	Adam|the-man Seth|Seth Enos|Enosh
1:2	Kenan|Cainan Mahalaleel|Mahalaleel Jared|Jared
1:3	Henoch|Enoch Methusalah|Methuselah Lamech|Lamech
1:4	Noah|Noah Sem|Shem Ham|Ham Japheth|Japheth
1:5	Die|the Kinder|children Japheths|Japheth sind|are diese|these Gomer|Gomer Magog|Magog Madai|Medes Javan|Javan Thubal|Tubal Mesech|Meshech Thiras|Tiras
1:6	Die|the Kinder|children aber|but Gomers|Gomer sind|are Askenas|Ashkenaz Riphath|Riphath Thogarma|Togarmah
1:7	Die|the Kinder|children Javans|Javan sind|are Elisa|Elishah Tharsisa|Tarshish die|the Chittiter|Chittim die|the Dodaniter|Dodanim
1:8	Die|the Kinder|children Hams|Ham sind|are Chus|Ethiopia Mizraim|Egypt Put|Put Kanaan|Canaan
1:9	Die|the Kinder|children aber|but von|from Chus|Ethiopia sind|are Seba|Seba Hevila|Havilah Sabtha|Sabta Ragma|Raamah Sabthecha|Sabtecha Die|the Kinder|children aber|but Ragmas|Raamah sind|are Saba|Sheba und|and Dedan|Dedan
1:10	Chus|Ethiopia aber|but zeugte|beget Nimrod|Nimrod der|he fing|began an|begin gewaltig|mighty zu|to sein|be thou auf|on Erden|earth
1:11	Mizraim|Egypt zeugte|beget die|the Luditer|Ludim die|the Anamiter|Anamim die|the Lehabiter|Lehabim die|the Naphthuhiter|Naphtuhim
1:12	die|the Pathrusiter|Pathrusim die|the Kasluhiter|Casluhim von|FROM welchen|whom sind|are ausgegangen|bring die|the Philister|Philistine und|and die|the Kaphthoriter|Caphtorim
1:13	Kanaan|Canaan aber|but zeugte|beget Sidon|Zidon seinen|his ersten|firstborn Sohn|firstborn und|and Heth|Heth
1:14	den|the Jebusiter|Jebusite den|the Amoriter|Amorites den|the Girgasiter|Girgashite
1:15	den|the Heviter|Hivite den|the Arkiter|Arkite den|the Siniter|Sinites
1:16	den|the Arvaditer|Arvadites den|the Zemariter|Zemarite und|and den|the Hamathiter|Hamathite
1:17	Die|the Kinder|children Sems|Shem sind|are diese|these Elam|Elam Assur|Assyria Arphachsad|Arpachshad Lud|Lud Aram|Aram Uz|Uz Hul|Hul Gether|Gether und|and Mesech|Meshech
1:18	Arphachsad|Arpachshad aber|but zeugte|beget Salah|Salah Salah|Salah zeugte|beget Eber|Eber
